"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rabac1",0.000105774226864789,-0.298367011818295,0.198,0.12,1
"Ywhab",0.000105990280181226,-0.306537237318825,0.178,0.106,1
"Tmed5",0.00020543838492394,-0.309511426023741,0.152,0.088,1
"C1qa",0.000306634836381772,-0.50941898087439,0.777,0.773,1
"Rpl9-ps6",0.00032288441548674,0.419018901528355,0.163,0.106,1
"Nrp1",0.000327977423327126,-0.38646048463387,0.152,0.089,1
"Tcn2",0.000390985669631991,-1.0619408699991,0.106,0.162,1
"Rpl14",0.000394138077856383,-0.989135031535902,0.087,0.142,1
"Cfl1",0.000428759440519897,-0.708245802291463,0.211,0.277,1
"Nfe2l2",0.000436078015829363,-0.289708252842372,0.153,0.092,1
"Tmem86a",0.000465565459118427,-1.15045623274209,0.135,0.189,1
"Hsp90b1",0.00049345710309618,-0.377172841245,0.43,0.308,1
"Ptma",0.000496077480726837,0.274763554029575,0.168,0.111,1
"Ly6e",0.000582495217072508,-1.03388515272343,0.413,0.452,1
"Mpeg1",0.000586723302301746,-0.964070620596766,0.305,0.35,1
"Ctsb",0.000612155464844789,-0.659761030188571,0.519,0.553,1
"Wasf2",0.000613470302964066,-0.255455325733208,0.251,0.17,1
"Ogfrl1",0.000791353718914051,-0.312743348946579,0.16,0.099,1
"Golm1",0.000823247224829777,-0.305346726110685,0.361,0.254,1
"Cttnbp2nl",0.000878810750419907,-0.538004425940393,0.241,0.16,1
"Ehd4",0.00088577304099765,-0.920106119388961,0.185,0.118,1
"Laptm5",0.000984412181795992,-0.399746522938428,0.698,0.714,1
"Rps9",0.00101707245711004,-0.729186086251115,0.266,0.324,1
"Commd8",0.0010726064784378,-0.455877428318426,0.145,0.089,1
"Hpgd",0.00152982863017595,-0.255681328816368,0.252,0.176,1
"Rplp0",0.00170989980426183,-0.608578032022412,0.097,0.147,1
"Syngr2",0.0020235127992585,-0.755889498245927,0.09,0.138,1
"Arpc3",0.00216426507208701,-0.275244025694369,0.116,0.071,1
"Gm2a",0.00261456488979389,-0.8421874446542,0.064,0.105,1
"Rps24",0.00359030282918673,-0.900180045218508,0.238,0.286,1
"Rpl13",0.00386161818154209,0.308296028725642,0.228,0.178,1
"Rps16",0.00409771428174399,0.345811511498658,0.133,0.092,1
"Tsn",0.0041884795088434,-0.260700211385333,0.116,0.073,1
"Atp1b3",0.00620160753883343,-0.845733643436379,0.107,0.149,1
"Pea15a",0.00632657176486764,-0.347124515658937,0.116,0.074,1
"Hsbp1",0.00758985403494003,-0.251274411090463,0.103,0.065,1
"Comt",0.00858427943636684,-0.349163824009601,0.223,0.162,1
"Calm2",0.00874093570067972,-0.351593486881867,0.319,0.24,1
"Gnas",0.00887918393739037,-0.505836767520079,0.295,0.218,1
"Dusp6",0.00901582370941618,-0.257411681428859,0.165,0.115,1
"Coro1a",0.00939470898744788,-0.948050138565548,0.149,0.187,1
"Arpc2",0.00963117460905318,-0.284232634344217,0.275,0.204,1
"Tnfrsf21",0.0104296756793257,-0.366696787568055,0.196,0.14,1
"Hspa5",0.0105875209183736,-0.404567847255744,0.335,0.249,1
"Plxnb2",0.0113054948106131,-0.267865009183445,0.163,0.116,1
"Rps11",0.0120304152288958,-0.772152000272294,0.136,0.175,1
"Npm1",0.0120323776547968,-0.854755154571986,0.073,0.106,1
"Prkar1a",0.0123429100663328,-0.281344822413402,0.142,0.097,1
"Tmem176b",0.012914889926616,-0.923825624321542,0.155,0.193,1
"Ndufa13",0.0136146956619011,-0.364649150638064,0.106,0.069,1
"Rpl18a",0.0149238607463513,-0.496875505275005,0.152,0.197,1
"Apoe",0.015880760810505,-0.689796957956306,0.239,0.294,1
"Tmed7",0.0174389115178543,-0.380221340135928,0.135,0.093,1
"Slc29a3",0.0202030079218231,-0.360891757250927,0.222,0.166,1
"Sun2",0.022282406880186,-0.307552588112985,0.107,0.072,1
"Rps4x",0.0267384341453603,-0.564171666472485,0.139,0.174,1
"Rps20",0.0279685071036572,-0.536521786653046,0.138,0.173,1
"Mgat1",0.0292987019398141,-0.314795985008121,0.112,0.077,1
"Rps27a",0.030144416387661,0.294442202335695,0.172,0.14,1
"Sh3bgrl3",0.0344243575276627,-0.767710801002347,0.093,0.124,1
"Eef1b2",0.0366613018872897,-0.493188768027283,0.089,0.12,1
"Tln1",0.0370651569856524,-0.264327635602575,0.152,0.116,1
"H2-K1",0.0421979314868603,-0.626843378875819,0.183,0.217,1
"Rpl8",0.049636845341218,-0.753777357521976,0.138,0.168,1
"Scamp2",0.055498901935759,-0.428495497897772,0.295,0.235,1
"Rap1b",0.0602521355493892,-0.460262478632181,0.218,0.171,1
"Gpx1",0.0606217018474109,-0.681417497601865,0.085,0.111,1
"Tnfrsf1a",0.0641994873623106,-0.404834519015288,0.103,0.074,1
"Rab3il1",0.064674709767985,-0.37787474172952,0.145,0.11,1
"Irf2bp2",0.065300285874278,-0.281856702658114,0.132,0.099,1
"Ecscr",0.068460615498048,-0.40632306463113,0.148,0.111,1
"Vapa",0.0705032108767473,-0.324587879208838,0.115,0.085,1
"Tnfaip8l2",0.0705883870203067,-0.99320915037608,0.086,0.109,1
"Cxxc5",0.0749820802185551,-1.06951104541968,0.099,0.121,1
"Snx5",0.079522294982313,-0.309207025491959,0.186,0.147,1
"Tapbp",0.0826098781544385,-0.837183284794067,0.103,0.126,1
"Rps19",0.0857294265834621,-0.377244228684013,0.107,0.134,1
"Tmco1",0.0986917402145825,-0.467968041008029,0.103,0.077,1
"Arhgdia",0.104939120140503,-0.714353836425931,0.107,0.13,1
"Efhd2",0.114252100940387,-0.669134282810373,0.191,0.207,1
"Lamp1",0.114473379689796,-0.442610878712398,0.398,0.335,1
"Ddx3x",0.116722609217707,-0.392389700671663,0.12,0.092,1
"Tmbim6",0.116831940333882,-0.408594178074006,0.391,0.318,1
"M6pr",0.129348777115088,-0.253460710888823,0.138,0.109,1
"Ctsz",0.129590547776882,-0.669356165884606,0.318,0.327,1
"Cmtm6",0.129855545612859,-0.850539354967615,0.185,0.202,1
"Grn",0.132562945936177,-0.562095616440488,0.453,0.455,1
"Pnrc1",0.133937228750802,-0.40877164397892,0.159,0.125,1
"Nmt1",0.145663957149003,-0.575533128052934,0.149,0.117,1
"Gabarap",0.147601004451321,-0.583397804066681,0.112,0.132,1
"Fcgr1",0.147926783426635,-0.950868812269846,0.132,0.148,1
"Pomp",0.158028919384655,-0.365054768997636,0.103,0.079,1
"Ptpn6",0.159158519539081,-0.416479369296432,0.115,0.09,1
"Eef2",0.169333802494926,-0.695915175068834,0.169,0.19,1
"F11r",0.176913620279681,-0.613330519686996,0.229,0.239,1
"Creg1",0.186572475957946,-0.566588323427818,0.13,0.148,1
"Ssr1",0.190674934943987,-0.397543221032069,0.102,0.08,1
"Gng10",0.196545055437191,-0.742697939650672,0.116,0.132,1
"Fcrls",0.198141590622645,-0.405629038269536,0.639,0.528,1
"Timp2",0.198502878860288,-0.675746186531455,0.198,0.214,1
"Rps10",0.202439859790685,-0.428375069206027,0.158,0.18,1
"Tpp1",0.202667097598585,-0.348686345521232,0.148,0.123,1
"Cd68",0.217740486714371,-0.659182863121418,0.256,0.271,1
"Cotl1",0.218080134580071,-0.316609945671485,0.132,0.11,1
"Gpr183",0.219185493707159,-0.53924920783558,0.105,0.084,1
"Tmem173",0.247746271786114,-0.724008045532773,0.158,0.171,1
"Txnip",0.260461348118498,-0.368302588934836,0.225,0.191,1
"Lrrc3",0.261717457992125,-0.280013440923615,0.113,0.092,1
"Mcl1",0.279842393305136,-0.621389389986405,0.089,0.102,1
"Snn",0.287749547275999,-0.253869024633277,0.102,0.084,1
"Sirpa",0.289802987765632,-0.783791835738855,0.534,0.477,1
"Tspan14",0.290106597822184,-0.563138697201303,0.092,0.105,1
"Tmem50a",0.295787211721183,-0.481753834854024,0.218,0.188,1
"Rac1",0.316904844595219,-0.559345761841885,0.205,0.217,1
"Rtn4rl1",0.359095680758151,-0.641614423192885,0.138,0.115,1
"Rpl23",0.367239905298244,-0.357715675369818,0.139,0.153,1
"Cd9",0.408519012948973,-0.259404962582412,0.375,0.342,1
"Pla2g15",0.417132135923386,-0.798045427004816,0.211,0.186,1
"Cd14",0.419627859984242,-0.55094944690788,0.14,0.151,1
"Cyba",0.422182653850338,-0.321274138833103,0.231,0.206,1
"Rnf130",0.423478591214582,-0.617562211899839,0.215,0.188,1
"Rpl38",0.427530793073002,-0.398548936616926,0.119,0.131,1
"Chchd2",0.447508288925198,-0.28020930458437,0.102,0.089,1
"Siglech",0.46903224600339,-0.53422865716183,0.708,0.595,1
"Tram1",0.481818433270663,-0.369762875856025,0.116,0.102,1
"Rpn2",0.487547870543683,-0.269981529635267,0.136,0.122,1
"Hexa",0.490451225460101,-0.681122473451181,0.305,0.266,1
"Basp1",0.522182278337361,-0.527557895486396,0.41,0.352,1
"Tuba1b",0.589335022013711,-0.403561544147821,0.135,0.139,1
"Rhog",0.60880520932602,-0.8016870039247,0.126,0.13,1
