"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"mt-Cytb",1.34616974717695e-37,-0.347689591244085,1,0.989,2.38339353737678e-33,"capEC"
"Gabarapl1",3.72326793953004e-13,0.346747713151403,0.498,0.384,6.59204588693794e-09,"capEC"
"Rtp4",2.33685508056611e-11,0.346692236397535,0.413,0.315,4.1374019201423e-07,"capEC"
"Adgre5",6.67965923391194e-08,-0.34440087183147,0.577,0.608,0.0011826336673641,"capEC"
"Sh3bgrl3",3.14726684640134e-13,-0.343008091611387,0.736,0.754,5.57223595155357e-09,"capEC"
"Tapbp",2.26968657561078e-12,0.341360449479068,0.456,0.34,4.01848008211888e-08,"capEC"
"Psme1",1.92016289983811e-12,0.341008590533856,0.687,0.593,3.39964841416336e-08,"capEC"
"Zfp664",4.28969722723174e-10,0.340964217546437,0.346,0.256,7.5949089408138e-06,"capEC"
"Hmbox1",1.78550088160499e-10,0.340663089614019,0.378,0.285,3.16122931088163e-06,"capEC"
"Arf5",5.87932606622781e-08,-0.338559746926469,0.537,0.574,0.0010409346800256,"capEC"
"Ctnnd1",3.09545609908229e-19,0.337727960312033,0.65,0.511,5.4805050234252e-15,"capEC"
"Spred2",1.96229182390755e-11,0.33707970912261,0.346,0.249,3.47423767422831e-07,"capEC"
"Stat2",2.3606944751104e-06,0.33634303250189,0.297,0.234,0.0417960956818296,"capEC"
"Hlf",1.46794990575201e-06,0.335431469199498,0.228,0.17,0.0259900530813394,"capEC"
"Tacc2",2.99569714221044e-08,0.333929181166642,0.182,0.122,0.0005303881790283,"capEC"
"Sh2b3",2.73803425040677e-06,0.332587813139664,0.222,0.167,0.0484768964034519,"capEC"
"Atp5h",4.80240331762149e-16,-0.331775522944284,0.783,0.79,8.50265507384885e-12,"capEC"
"Amotl2",6.78833834448962e-07,0.331194218396051,0.273,0.208,0.0120187530389189,"capEC"
"Dad1",1.05283177640297e-06,-0.330359827091857,0.52,0.557,0.0186403866012146,"capEC"
