"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Itm2c",6.1759840773725e-07,-0.74371861687203,0.44,0.585,0.010934579808988,"vEC"
"Rps11",2.17387461309269e-29,-0.726806923637302,0.949,0.958,3.8488450024806e-25,"vEC"
"Pdgfb",7.8767955330802e-19,0.725280886006919,0.928,0.827,1.39458664913185e-14,"vEC"
"Phactr4",1.04001878760215e-09,0.719812286878132,0.709,0.581,1.84135326344961e-05,"vEC"
"Lats2",3.26810292720569e-07,0.706610867367324,0.608,0.461,0.0057861762326176,"vEC"
"Capg",1.58601005626835e-06,-0.70265340541091,0.261,0.412,0.0280803080462312,"vEC"
"Ubl3",2.68721592032931e-09,0.701459890492475,0.738,0.63,4.75771578694304e-05,"vEC"
"Slc38a3",3.31768717952975e-11,0.689526252430612,0.76,0.644,5.87396515135742e-07,"vEC"
"Klf7",7.16961281863608e-14,0.68441359569891,0.831,0.736,1.26937994953952e-09,"vEC"
"Fkbp4",4.1408806722774e-08,0.67464821641792,0.702,0.57,0.0007331429230267,"vEC"
"Rplp0",2.37727156510402e-22,-0.65229570707804,0.93,0.982,4.20895930601667e-18,"vEC"
"Itpkb",7.09545429110408e-07,0.644029682058099,0.526,0.37,0.0125625018223998,"vEC"
"Plec",2.15377078703919e-08,-0.637195713292809,0.587,0.722,0.0003813251178452,"vEC"
"Mprip",1.07715276678187e-10,0.625564546434476,0.806,0.701,1.9070989735873e-06,"vEC"
"Tspan13",4.80450618433176e-18,0.623155815205644,0.951,0.898,8.50637819935937e-14,"vEC"
"Atrx",1.43187399870034e-09,0.62011357627399,0.822,0.75,2.53513291469894e-05,"vEC"
"Cmtm8",7.3852029307077e-07,0.615954669007083,0.644,0.542,0.013075501788818,"vEC"
"Arhgef12",1.6463945170896e-09,0.615514610709911,0.804,0.725,2.91494149250714e-05,"vEC"
"Adcy4",7.0721389928085e-07,-0.613539391388506,0.396,0.56,0.0125212220867674,"vEC"
"Ifngr1",2.42985291449247e-06,-0.59443851905007,0.297,0.458,0.0430205458510892,"vEC"
"Scarb1",1.72799682686558e-06,0.593668360189938,0.541,0.401,0.0305941838196551,"vEC"
"Cavin3",2.58668492086589e-06,-0.585368319765777,0.528,0.676,0.0457972565239307,"vEC"
"Srpr",4.55655526826299e-09,0.567680671711531,0.747,0.627,8.06738110245963e-05,"vEC"
"Dab2ip",5.92568057682452e-13,0.567382647393868,0.881,0.789,1.04914174612678e-08,"vEC"
"Gng11",2.51159458096404e-10,0.564749178494582,0.913,0.88,4.44677820559684e-06,"vEC"
"Rpl3",2.51901497859966e-19,-0.562196637727772,0.955,0.954,4.45991601961069e-15,"vEC"
"Rab11a",1.26015323390542e-12,-0.556089724043707,0.807,0.905,2.23110130062954e-08,"vEC"
"Dlc1",2.586249819789e-08,0.552560055821444,0.778,0.673,0.0004578955305936,"vEC"
