gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Sox13,4.06772326051818e-21,-0.268869801375544,0.246,0.319,7.2165478364853e-17
Scd2,2.53747295249133e-27,-0.268590397010215,0.16,0.247,4.50173076501486e-23
Vim,1.98819697258833e-32,-0.268162378181794,0.922,0.935,3.52726024906896e-28
Nkd1,1.47051656022428e-16,-0.266996529682532,0.535,0.584,2.6088434294938897e-12
Adgrl2,2.76096440541401e-21,-0.266395418548222,0.61,0.658,4.898226951645e-17
Tek,1.43293000013168e-33,-0.262658562755957,0.818,0.838,2.54216111323361e-29
Cnot3,3.09700509450224e-22,-0.262303955776473,0.275,0.352,5.494396738156419e-18
Zfp36l1,4.47200004522418e-30,-0.261636437967541,0.83,0.859,7.933775280232209e-26
Pir,2.50534986614218e-18,-0.261203159727974,0.278,0.347,4.44474119752284e-14
Wdr89,2.73187810796956e-25,-0.260491441321128,0.174,0.255,4.84662495134879e-21
Plscr4,1.37269031231838e-21,-0.259286491752715,0.587,0.637,2.4352898830840302e-17
Stk38,1.7755442698018902e-20,-0.258038202973315,0.504,0.564,3.1499930890555397e-16
Lhfpl2,9.18189608570846e-19,-0.257654610476779,0.318,0.388,1.6289601845655402e-14
Cd93,1.52051535634043e-17,-0.256944940474275,0.554,0.608,2.69754629368356e-13
Etv6,3.56029676888784e-18,-0.256829026325184,0.29,0.358,6.316322497683921e-14
Glcci1,6.02306441350684e-19,-0.25529810580705,0.248,0.322,1.06855185760025e-14
Slc16a2,8.76886289808872e-23,-0.254162653349343,0.597,0.644,1.5556839667499198e-18
Esyt2,1.5601827026644e-27,-0.252657972944395,0.82,0.841,2.76792013279692e-23
Hnrnpm,4.59508856648925e-17,-0.251016596148891,0.591,0.607,8.15214662580857e-13
