gene,log2FC_from_dpi1,p_val_adj_from_dpi1,log2FC_from_dpi3,p_val_adj_from_dpi3,log2FC_from_dpi7,p_val_adj_from_dpi7
Ndrg1,-0.396320483004777,9.96723009781572e-47,0.752555239103697,1.93433954096348e-114,0.792122747665592,8.34532133983996e-137
Nek7,0.572454731219693,1.08048041055695e-07,0.411390973835017,5.46889362747929e-07,0.635955574575419,1.51720346945083e-33
Nfkbia,-0.64638340811072,1.11928064305239e-114,0.952094917256185,5.75190737742607e-228,0.676403564851134,4.91122136120223e-120
Nkd1,-0.778744732303313,2.16271575689974e-55,-0.662361113227972,4.39583189739262e-27,-0.647432824517795,2.78037470381649e-17
Notum,-0.764049817479306,1.25134814512606e-40,-0.750883322556103,2.85484224532509e-23,-0.654266146986994,3.52926685676417e-08
Palm,-0.448193828100302,3.65366756062809e-35,-0.256918566121048,6.14635957467726e-08,-0.314545126468552,0.0084050299560102
Pde2a,-0.303704940774775,4.54310831215293e-26,0.296951873322186,9.17237156722302e-08,0.48006590603192,1.10412241230359e-34
Per1,-0.596659562744998,3.35497078255718e-10,0.468164813451412,0.0012592136787886,0.665429018359763,9.87224938306997e-16
Pik3ip1,-0.916708756790717,3.22104617218734e-67,0.669747836852072,3.09107723396683e-35,0.833824341052764,9.2878840829706e-73
Pim3,-0.756878548052822,9.5306610260254e-52,1.278495393158,7.4953379472336e-126,0.941674588490291,1.36180562347148e-75
Plat,-0.492781042526574,1.19071803343094e-40,0.727400694498288,1.88512376150674e-62,0.920289506412058,4.55852813603023e-114
Plk2,0.62896545910553,0.0285369883087229,0.493484698502357,2.91027301908757e-08,0.530668227533429,2.83680406212491e-17
Plpp6,-0.341057061230818,1.30331415078489e-08,0.545483496677566,2.37342896884596e-11,0.435850908375889,2.1462801169141e-08
Plxdc2,-2.29757092933503,6.92761304939005e-57,-1.81278470348187,4.93782384543331e-30,-1.02190365797045,3.34951097400103e-08
Plxna2,0.810412463698151,1.95678886062785e-47,0.519700134302143,1.42592953468529e-17,0.858692065003906,1.05407948668596e-84
Pnpla2,-0.518252523743195,1.06758705502111e-25,0.767374000331232,1.64968384040313e-33,0.844291285908176,9.79786365045747e-52
Proser2,-0.942329844015948,1.37693141643048e-59,0.748197258508738,2.52955063662287e-29,0.670104635426427,1.50817183864609e-30
Prr5l,-0.313959171838651,3.75904589546479e-08,-1.02105056270044,6.49668440811381e-29,-0.909911311139758,3.50520386648919e-17
