"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccnd1",1.55572700093304e-13,0.0782554745991787,0.188,0.151,2.84106864910391e-09
"Impa1",1.58137456135855e-13,-0.0692033326312572,0.188,0.25,2.88790622395299e-09
"Sdccag8",1.60593658351331e-13,0.0636336583906418,0.152,0.122,2.932761388812e-09
"Trappc8",1.61226460294784e-13,0.0751648887184173,0.321,0.291,2.94431761790334e-09
"Spice1",1.6890006766998e-13,0.0636298636858498,0.151,0.119,3.08445303578918e-09
"Atr",1.69171319842491e-13,0.060561699335748,0.132,0.102,3.08940664296357e-09
"Dll4",1.69674466753569e-13,0.0764538131030857,0.26,0.225,3.09859511185367e-09
"Mapk14",1.70411580603306e-13,0.0705817293884735,0.244,0.213,3.11205628497757e-09
"Snx1",1.77263414004952e-13,-0.0729390117716102,0.229,0.303,3.23718446655843e-09
"Itch",1.82647368231504e-13,0.0780212812888752,0.452,0.432,3.33550623864373e-09
"Cds2",1.9107289020705e-13,0.075743415986021,0.349,0.32,3.48937312096114e-09
"Kremen1",1.92241400224341e-13,0.0519989596614501,0.103,0.075,3.51071245089692e-09
"Snx15",1.98721577990259e-13,-0.0587101697370855,0.106,0.156,3.62905345725811e-09
"Mybbp1a",2.07404698589447e-13,0.0659326706823509,0.18,0.145,3.78762460564048e-09
"Rab10",2.0984297739478e-13,0.0752920414731599,0.541,0.539,3.83215245318348e-09
"Yipf5",2.20180989754517e-13,-0.0684370589368883,0.181,0.245,4.02094523489699e-09
"Megf9",2.23353945798556e-13,0.0679062746081357,0.194,0.163,4.07888975817323e-09
"Atp6v1d",2.26614791909363e-13,-0.0743885103308481,0.267,0.338,4.13843932984878e-09
"Tbc1d14",2.27857764421343e-13,0.0766972379210618,0.333,0.299,4.16113849386256e-09
"Mapk8ip3",2.40165003400527e-13,0.068282931485195,0.212,0.178,4.38589329210043e-09
"Slc25a11",2.42128723408004e-13,-0.0648813030042465,0.149,0.21,4.42175474687697e-09
"Efl1",2.45841305682824e-13,0.0556239447521439,0.113,0.085,4.48955392437974e-09
"Ankfy1",2.46534374731995e-13,0.0705043068944958,0.24,0.21,4.5022107513557e-09
"Mrps5",2.47636777238548e-13,-0.0727552583567312,0.222,0.285,4.52234282593037e-09
"Cdk12",2.54431868984136e-13,0.0762219776666783,0.485,0.457,4.6464347913883e-09
"Eps8l2",2.54629193661359e-13,-0.077393083769929,0.226,0.292,4.65003833464374e-09
"Scamp3",2.57512804932651e-13,-0.0628199658225419,0.134,0.189,4.70269884368007e-09
"Cog3",2.58264967102428e-13,0.0535498029561024,0.113,0.085,4.71643482922454e-09
"Zfp644",2.67185162269776e-13,0.0767894990432035,0.435,0.416,4.87933543337066e-09
"Tspan4",2.70978442230726e-13,-0.0750249354860466,0.281,0.354,4.94860831201752e-09
"Rabggtb",2.74705454757776e-13,-0.0558677791336365,0.086,0.131,5.0166710147865e-09
"Ppp1cc",2.78529674424338e-13,-0.0744647309972998,0.295,0.374,5.08650891433727e-09
"Tbc1d24",2.79080772415617e-13,0.0520374443383596,0.101,0.073,5.096573065854e-09
"Pim1",2.79314876860649e-13,-0.0639009093183513,0.13,0.181,5.10084828122917e-09
"Efcab14",2.8038222894903e-13,0.0748721613998225,0.324,0.291,5.12034026506719e-09
"Zfc3h1",2.95634277310327e-13,0.0741163272211887,0.291,0.257,5.3988731722412e-09
"Ndnf",2.95767108352315e-13,0.0947415366703585,0.41,0.374,5.40129893272997e-09
"Nck1",2.97661417628931e-13,-0.0747503843318005,0.472,0.556,5.43589280873954e-09
"Rrp36",3.10525677788967e-13,-0.0576390693137242,0.096,0.144,5.67081992778212e-09
"Rif1",3.14595054557785e-13,0.0775980367668426,0.322,0.288,5.74513488633427e-09
"Ei24",3.18503695956856e-13,-0.0713126047533635,0.243,0.313,5.81651449556411e-09
"Nufip2",3.24800369983412e-13,0.0759933864639045,0.464,0.442,5.93150435663707e-09
"Eny2",3.34301603286095e-13,-0.0709606888275488,0.22,0.282,6.10501587921067e-09
"Tpi1",3.38137592594404e-13,-0.0766581485334535,0.382,0.46,6.17506871595901e-09
"Bckdk",3.40881643984342e-13,-0.0542078911137566,0.088,0.13,6.22518058244205e-09
"Cd47",3.47008835460047e-13,-0.0698737901335483,0.609,0.678,6.33707535317137e-09
"Txnrd1",3.57088476422651e-13,0.067378810422158,0.206,0.171,6.52114975643046e-09
"Prr14l",3.63256628092843e-13,0.0688960553385725,0.197,0.164,6.6337925422315e-09
"Ptpn9",3.83988044713077e-13,0.0653309663873532,0.163,0.137,7.0123896725502e-09
"Ascc2",3.93043044885478e-13,0.0562206268308821,0.125,0.094,7.1777520856986e-09
"Mis18a",4.0071242475342e-13,-0.051222958047535,0.071,0.113,7.31781030084695e-09
"Aip",4.07772549021175e-13,-0.0673337347382225,0.178,0.239,7.4467422902247e-09
"Stk24",4.14455271466168e-13,0.075025275634626,0.353,0.329,7.56878216751515e-09
"Slc30a4",4.15593139571098e-13,0.0516513351322563,0.104,0.076,7.58956191484739e-09
"AU040320",4.23177436669176e-13,0.0650143324520897,0.193,0.163,7.72806634845249e-09
"Wsb1",4.3452364832469e-13,-0.0652103874490194,0.153,0.208,7.93527086570550e-09
"Dnttip1",4.40763482603702e-13,-0.0659697544529764,0.167,0.229,8.04922271930881e-09
"Kat8",4.4176969765406e-13,-0.0500167953914982,0.066,0.106,8.06759821855844e-09
"Fam241a",4.45016342210473e-13,-0.0599574865810402,0.11,0.162,8.12688844144766e-09
"Scamp1",4.45604009450822e-13,0.0746645325814647,0.355,0.332,8.13762042059092e-09
"Dazap1",4.55948276013887e-13,-0.0700526520411545,0.214,0.278,8.3265274165656e-09
"Taf2",4.59839172892777e-13,0.0615235292523847,0.155,0.124,8.39758297536789e-09
"Msl3",4.60770930186413e-13,-0.0648873332331921,0.147,0.2,8.41459872706428e-09
"Erap1",4.73491089530272e-13,0.0696648537317924,0.232,0.203,8.64689427700182e-09
"Fbxw8",4.75989026524562e-13,0.0593847599115579,0.144,0.114,8.69251160239155e-09
"Gch1",4.79959349263126e-13,-0.0766663543114687,0.431,0.52,8.7650176362432e-09
"Ppip5k2",4.88831227449575e-13,0.052912482717089,0.107,0.08,8.92703587568414e-09
"Nipal3",5.08671602436374e-13,0.0664936102570695,0.204,0.174,9.28936080369306e-09
"Wbp1l",5.1665711858428e-13,0.0646895210869562,0.191,0.159,9.43519229958613e-09
"Chd1l",5.19920183951977e-13,0.0542451807799062,0.114,0.084,9.494782399331e-09
"Hint2",5.33547498482634e-13,-0.0690502430946384,0.191,0.257,9.74364441728987e-09
"Atp6v0d1",5.3578215678613e-13,-0.0704394386945572,0.244,0.311,9.7844537472283e-09
"Mpp5",5.47846942201895e-13,0.0741889677352694,0.295,0.262,1.0004780858491e-08
"Prdx5",5.58747053290818e-13,-0.0672608310322463,0.187,0.25,1.02038386871969e-08
"Iqsec1",5.68365406754938e-13,0.0698780616564427,0.256,0.223,1.03794890581587e-08
"Ddit3",5.74998877954412e-13,-0.053324648019652,0.077,0.118,1.05006295092035e-08
"Tmx1",5.76268728764488e-13,-0.0690149717346618,0.21,0.276,1.05238195246971e-08
"Trrap",5.81960207599673e-13,0.0666635265281681,0.212,0.178,1.06277573111852e-08
"Trim16",5.91438019969665e-13,-0.0743862031661786,0.268,0.34,1.0800841120686e-08
"Foxk2",6.02498556537563e-13,0.0611573260705699,0.169,0.136,1.1002828639489e-08
"Nrd1",6.64133701843965e-13,0.0736666879483865,0.521,0.502,1.21284096630745e-08
"Lage3",6.71018644136287e-13,-0.0615648029118933,0.137,0.189,1.22541424792169e-08
"Tmem60",7.0361066049358e-13,-0.0551112565200804,0.088,0.133,1.28493378819338e-08
"Tfrc",7.2497409454537e-13,-0.0796851023617304,0.623,0.684,1.32394769145876e-08
"Spaar",7.2908678440972e-13,0.0702538470565181,0.197,0.161,1.33145828568903e-08
"Setd7",7.57650485898495e-13,0.0699175818410794,0.252,0.219,1.38362131734783e-08
"Pex2",7.74553155493787e-13,-0.0525318833675042,0.078,0.122,1.41448897256275e-08
"Pcgf3",7.83785577678082e-13,0.0611125237297938,0.162,0.129,1.43134922195571e-08
"Sema7a",7.84210791390845e-13,0.0625159262034298,0.76,0.755,1.43212574723796e-08
"Ubr2",8.01681212395882e-13,0.0752433877422387,0.401,0.37,1.46403023007736e-08
"Arpc5",8.02300356753488e-13,-0.0723180476727855,0.458,0.539,1.46516091150322e-08
"Cdkn1b",8.05763093208519e-13,-0.0743457528223304,0.382,0.463,1.4714845608174e-08
"Dop1b",8.53165154493807e-13,0.0625106286158344,0.167,0.138,1.55805020513659e-08
"Zfp280d",8.6263434369538e-13,0.0755529448765681,0.367,0.336,1.5753428384565e-08
"Dnajc7",8.86055709060428e-13,-0.0736846974954848,0.336,0.41,1.61811493588615e-08
"Cdk5rap2",8.95928269785594e-13,0.0558410699886497,0.12,0.092,1.63614420628245e-08
"Urod",9.05517241802828e-13,-0.0541557061928924,0.087,0.133,1.65365558698032e-08
"H2-M3",9.16936990394692e-13,-0.0580390346495955,0.108,0.157,1.67451033185879e-08
"Ilf3",9.17758019863705e-13,0.0604889780339819,0.155,0.125,1.6760096958751e-08
