"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm2",1.13261717017746e-16,-0.237461209949434,0.627,0.82,2.06838547617807e-12
"Rpl15",1.30209030941745e-16,-0.159006553450987,0.896,0.973,2.37787732305814e-12
"Rpl29",1.41489983498785e-16,-0.177472125296055,0.852,0.946,2.58389007865481e-12
"Mapk3",1.50427856926079e-16,-0.253084870085474,0.494,0.72,2.74711352318406e-12
"Rpl35",1.74125894433146e-16,-0.23762547060706,0.634,0.83,3.17988708413811e-12
"Srgap2",1.74577452881473e-16,0.242865626382197,0.807,0.752,3.18813344452146e-12
"Rpl8",1.83551897852626e-16,-0.130617773087659,0.938,0.986,3.35202475858466e-12
"Atp5j",1.96764279669943e-16,-0.203508829117318,0.772,0.915,3.5933092753325e-12
"Pdgfa",2.17791953586475e-16,-0.302735619049317,0.3,0.476,3.9773166563962e-12
"Rpl36a",2.32196459357746e-16,-0.228315154364749,0.683,0.857,4.24037174079116e-12
"Snrpb",2.38734560767922e-16,-0.246082785761928,0.536,0.762,4.3597705487438e-12
"Clta",2.46583057614689e-16,-0.244614407418131,0.547,0.762,4.50309979815945e-12
"Pik3ip1",2.52647052636698e-16,-0.274978925611745,0.331,0.552,4.61384047525138e-12
"Arf5",2.53022959312568e-16,-0.254694888202559,0.444,0.683,4.62070528296611e-12
"Mat2a",3.31538120886568e-16,-0.266706588867348,0.511,0.731,6.05454916363051e-12
"Gmds",3.67572735741026e-16,0.293467334355891,0.5,0.377,6.71261330010262e-12
"Dock1",3.68134449393071e-16,0.261566143917252,0.691,0.61,6.72287131481626e-12
"Kalrn",4.01198465677189e-16,0.293298265244639,0.509,0.36,7.32668638019682e-12
"Spcs2",4.06237276615084e-16,-0.252898959463859,0.483,0.731,7.41870514554466e-12
"Cdh13",4.10462605902992e-16,0.379716143305605,0.293,0.153,7.49586810900043e-12
"Pbx1",4.36165526635792e-16,0.292769903287355,0.592,0.467,7.96525484742282e-12
