"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps13",6.0016546142385e-21,-0.194971403751848,0.865,0.956,1.09602216565224e-16
"Naca",7.65631028272773e-21,-0.218701499027641,0.807,0.935,1.39819538383174e-16
"Vdac3",9.09778290817163e-21,-0.296250524828055,0.398,0.671,1.6614371146903e-16
"Tcf12",1.07706895937795e-20,0.278369622643483,0.787,0.722,1.96694333361601e-16
"Ptprr",1.2953857633858e-20,-0.328538645415997,0.446,0.683,2.36563348109515e-16
"Cacybp",1.4764829351921e-20,-0.304264127236054,0.281,0.551,2.69635313624782e-16
"Sub1",1.78656816635039e-20,-0.282480017966158,0.543,0.776,3.26263078538909e-16
"Rhoa",1.79584640282579e-20,-0.177867429764721,0.89,0.966,3.27957470084046e-16
"Egfl8",1.93157891084382e-20,-0.370965193387746,0.273,0.469,3.52744940698299e-16
"Ldha",2.05161446010576e-20,-0.284474939628835,0.578,0.799,3.74665832704514e-16
"Hsp90ab1",2.37027554261401e-20,-0.103375114988773,0.974,1,4.3285971959217e-16
"Rpl28",2.427972675993e-20,-0.170382279530388,0.901,0.983,4.43396370089841e-16
"Nfia",2.79802741022949e-20,0.277565127067028,0.78,0.714,5.1097576565611e-16
"Nr3c2",2.95484954913495e-20,0.345753435547355,0.54,0.397,5.39614624663024e-16
"Arl1",3.12395753249203e-20,-0.284316447520252,0.362,0.625,5.70497124583695e-16
"Rpl27",4.52123884217616e-20,-0.187568635207452,0.87,0.966,8.25668637358211e-16
"Lmo2",4.56700127293369e-20,-0.303999272979104,0.5,0.734,8.34025772463151e-16
"Exoc4",5.86516658480028e-20,0.310457185143018,0.66,0.555,1.07109672171623e-15
"Sptssa",6.81967975150217e-20,-0.289932275473685,0.357,0.636,1.24540991621933e-15
"Fkbp4",7.30942398108802e-20,-0.303746987647171,0.363,0.626,1.33484700742629e-15
"Prkch",7.41802577535743e-20,0.295280703448497,0.719,0.649,1.35467986709577e-15
"Dync1i2",7.48770428601636e-20,-0.250729556047258,0.694,0.861,1.36740455671231e-15
"Rpl10a",9.05313881334068e-20,-0.250008186481452,0.697,0.885,1.65328421009228e-15
"Eif5a",9.16860661419637e-20,-0.280702241405933,0.478,0.742,1.67437093988454e-15
"Ywhaq",1.01962877226498e-19,-0.228803258738161,0.738,0.901,1.8620460639103e-15
"Ppia",1.34386105163883e-19,-0.134755354983961,0.952,0.984,2.45415905250283e-15
"Cox5a",1.47510847629839e-19,-0.263528388836664,0.601,0.81,2.69384309941613e-15
"Pfn1",1.50829654374534e-19,-0.261325585121973,0.596,0.831,2.75445114818774e-15
"Stard13",1.73665591886111e-19,0.316708889401052,0.626,0.492,3.17148103902415e-15
"Ndufa7",1.75215678174152e-19,-0.244319122037745,0.703,0.888,3.19978871481637e-15
"mt-Atp6",1.86720713969339e-19,-0.0845626260254284,0.994,0.996,3.40989367850807e-15
"Ccdc85b",2.31627343199829e-19,-0.260148672923847,0.64,0.843,4.22997854151528e-15
"Lrch1",2.54042430957042e-19,0.293669948105696,0.679,0.575,4.6393228741375e-15
"Cyyr1",2.75088860179512e-19,0.225796837165475,0.887,0.854,5.02367276459824e-15
"Map1lc3a",2.86894460395973e-19,-0.285288285543791,0.447,0.693,5.23926663575126e-15
"Oaz1",3.20474316110112e-19,-0.224593682345925,0.753,0.898,5.85250196080286e-15
"Wwox",3.32075165984208e-19,0.37183558762604,0.441,0.265,6.0643566812036e-15
"Smpdl3a",3.44171575120006e-19,-0.279051919011713,0.439,0.686,6.28526130484155e-15
"Csrp2",4.77982418517301e-19,-0.313729449461685,0.427,0.649,8.72891492696295e-15
"Gnai2",5.40807112956641e-19,-0.137208249339504,0.939,0.99,9.87621949681417e-15
"Ppib",5.76532290962462e-19,-0.246255484188608,0.641,0.857,1.05286326975565e-14
"Gpx1",8.35972887124086e-19,-0.275504762048693,0.576,0.775,1.52665368646601e-14
"Htra1",8.76167822229195e-19,-0.261906659809935,0.11,0.319,1.60005767695496e-14
"Rabgap1l",9.95170422324324e-19,0.326609672044966,0.498,0.348,1.81738022524868e-14
"Ndfip1",1.02153808957085e-18,-0.264556402281306,0.539,0.795,1.86553285917429e-14
"Cdc42",1.08693226868328e-18,-0.206496652471813,0.806,0.928,1.98495570906941e-14
"Mcc",1.1756539608729e-18,0.276631809734982,0.767,0.688,2.14697926334609e-14
"Acvrl1",1.19960234463194e-18,-0.216498737076749,0.77,0.916,2.19071380176685e-14
"Acer2",1.32447933323083e-18,0.310217916250542,0.671,0.588,2.41876415834614e-14
"Srsf9",1.37386608392167e-18,-0.274929408758745,0.306,0.568,2.50895424245776e-14
"Vps13b",1.5413532834061e-18,0.298689738966116,0.548,0.39,2.81481936615621e-14
"Snx3",1.7778614536245e-18,-0.221045926355607,0.745,0.895,3.24673058660906e-14
"Calm1",2.0476146788879e-18,-0.10138742341192,0.98,0.994,3.73935392658508e-14
"Srgn",2.07418620989425e-18,-0.194322697899833,0.843,0.946,3.78787885650888e-14
"Rpl22",2.30943988147693e-18,-0.203009842708778,0.811,0.941,4.21749911155317e-14
"Arl4a",2.69973784940062e-18,-0.265140594620809,0.689,0.858,4.93026126057542e-14
"Rheb",2.94885462061339e-18,-0.27241437487573,0.464,0.707,5.38519830816417e-14
"H2-K1",2.98930295045487e-18,-0.247905580925439,0.733,0.881,5.45906504812069e-14
"Dctn2",3.03351848550099e-18,-0.281401502985072,0.301,0.552,5.53981145822191e-14
"Tagln2",3.29586295336595e-18,-0.233482475988147,0.745,0.875,6.01890492543691e-14
